AR ,Augmented Reality
ARP ,Address Resolution Protocol
ASP ,Application Service Provider
BCP ,Business Continuity Plan
BI ,Business Intelligence
BPO ,Business Process Outsourcing
BPR ,Business Process Reengineering
bps ,bit per second
BSC ,Balanced ScoreCard
BYOD ,Bring Your Own Device
CAD ,Computer Aided Design
CAM ,Computer Aided Manufacturing
CIO ,Chief Information Officer
CMMI ,Capability Maturity Model Integration
CPU ,Central Processing Unit
CRM ,Customer Relationship Management
CSF ,Critical Success Factors
CSR ,Corporate Social Responsibility
CSS ,Cascading Style Sheets
DDoS攻撃 ,Distributed Denial Of Service
DFD ,Data Flow Diagram
DHCP ,Dynamic Host Configuration Protocol
DMZ ,DeMilitarized Zone
DNS ,Domain Name System
DOA ,Data Oriented Approach
dpi ,dots per inch
DRAM ,Dynamic Random Access Memory
DRM ,Digital Rights Management
EA ,Enterprise Architecture 組織運営の基本理念
EC ,Electronic Commerce 電子商取引
ECC ,Error Check and Correct 誤り訂正符号
E-R図 ,Entity Relationship Diagram
ERP ,Enterprise Resource Planning
EVM ,Earned Value Management 出来高管理
FIFO ,First In First Out、先入先出
FTP ,File Transfer Protocol
FTTH ,Fiber To The Home
GPS ,Global Positioning System
HaaS ,Hardware as a Service ハードウエア利用提供サービス
HDMI ,High-Definition Multimedia Interface
HRM ,Human Resource Management 人的資源管理
HTML ,HyperText Markup Language
HTTP ,Hyper Text Transfer Protocol
IDS ,Intrusion Detection System 侵入検知システム
IEEE ,Institute of Electrical and Electronic Engineers
IMAP ,Internet Message Access Protocol
IoT ,Internet of Things
IPO ,Initial Public Offering
IPS ,Intrusion Prevention System 侵入防止システム
IPv6 ,Internet Protocol version6
IrDA ,Infrared Data Association 赤外線通信規格
ISMS ,Information Security Management System
ISO ,International Organization for Standardization
ISP ,Internet Service Provider
ITIL ,Information Technology Infrastructure Library
ITS ,Intelligent Transport Systems 高度道路交通システム
JAN ,Japanese Article Number
JIS ,Japanese Industrial Standards
KPI ,Key Performance Indicators
LRU ,Least Recently Used
LTE ,Long Term Evolution、4G
M&A ,Merger & Acquisition
MBO ,Management BuyOut
MDM ,Mobile Device Management
MIDI ,Musical Instrument Digital Interface
MIME ,Multipurpose Internet Mail Extension
MOT ,Management Of Technology
MP3 ,MPEG Audio Layer-3
MRP ,Material Requirements Planning
MTBF ,Mean Time Between Failures
MTTR ,Mean Time To Repair
MVNO ,Mobile Virtual Network Operator
NAS ,Network Attached Storage
NAT ,Network Address Translation
NDA ,Non Disclosure Agreement
NFC ,Near Field Communication
OJT ,On the Job Training
OS ,Operating System
OSS ,Open Source Software
PCM ,Pulse Code Modulation
PDCA ,Plan、Do、Check、Act
PDM ,Product Data Management 製造データ管理
PER ,Price Earnings Ratio 株価収益率
PERT ,Program Evaluation and Review Technique
PKI ,Public Key Infrastructure
PL法 ,Product Liability
PMBOK ,Project Management Body Of Knowledge ピンボック
PoE ,Power over Ethernet
POP ,Post Office Protocol
POS ,Point Of Sale
PPM ,Products Portfolio Management
QR ,Quick Response)コー
RAID ,Redundant Arrays of Inexpensive Disks
RDB ,Relational Database
RFID ,Radio Frequency IDentification
RFM ,Recency、Frequency、Monetary
RFP ,Request For Proposal
RGB ,Red、Green、Blue
ROE ,Return On Equity
ROI ,Return On Investment
RPA ,Robotic Process Automation ロボットによる業務自動化
RSS ,Really Simple Syndication
SaaS ,Software as a Service
SCM ,Supply Chain Management
SCSI ,Small Computer System Interface スカジー、周辺機器とのパラレル接続規格
SEO ,Search Engine Optimization
SFA ,Sales Force Automation
SIM ,Subscriber Identity Module
SLA ,Service Level Agreement
SLCP ,Software Life Cycle Process
S/MIME ,Secure MIME
SMTP ,Simple Mail Transfer Protocol
SNS ,Social Networking Service
SOA ,Service Oriented Architecture
SPEC ,Standard Performance Evaluation Corporation
SQL ,Structured Query Language
SQuBOK ,Software Quality Body Of Knowledge スクボック
SSD ,Solid State Drive
SSID ,Service Set Identifier
SSL ,Secure Socket Layer
SWOT ,Strengths Weaknesses Opportunity Threat
TCO ,Total Cost of Ownership
TCP ,Transmission Control Protocol
TELNET ,TELetype NETwork
TOB ,TakeOver Bid
UDP ,User Datagram Protocol
UML ,Unified Modeling Language
UPS ,Uninterruptible Power Supply
URL ,Uniform Resource Locator
USB ,Universal Serial Bus
UTM ,Unified Threat Management 統合脅威管理
VICS ,Vehicle Information and Communication System
VoIP ,Voice over Internet Protocol
VPN ,Virtual Private Network
WAF ,"Web Application Firewall, Webアプリケーションファイアーウォール"
WBS ,Work Breakdown Structure
WPA ,Wi-fi Protected Access
WWW ,World Wide Web
XML ,eXtensible Markup Language
XSS ,Cross Site Scripting
「すべて終了」,「最初に戻る」
